,default_wgt_sum,default_count,current_count
	ass,0.0,1.0,129314.0
    ,0.0,6.0,129309.0
   a,0.0,33.0,129282.0
   b,1.0,14.0,129301.0
   c,0.0,33.0,129282.0
   d,0.75,20.0,129295.0
   e,3.0,22.0,129293.0
   f,0.0,17.0,129298.0
   g,0.0,7.0,129308.0
   h,0.0,7.0,129308.0
   i,0.0,11.0,129304.0
   j,0.0,1.0,129314.0
   k,0.0,1.0,129314.0
   l,0.0,14.0,129301.0
   m,1.75,32.0,129283.0
   n,0.0,4.0,129311.0
   o,0.0,23.0,129292.0
   p,3.0,46.0,129269.0
   q,0.0,4.0,129311.0
   r,0.0,23.0,129292.0
   s,1.0,45.0,129270.0
   t,0.0,23.0,129292.0
   u,0.0,3.0,129312.0
   v,0.0,2.0,129313.0
   w,0.0,5.0,129310.0
   y,0.0,1.0,129314.0
  1$,0.0,1.0,129314.0
  1l,0.0,1.0,129314.0
  1s,0.0,1.0,129314.0
  1y,0.0,1.0,129314.0
  2 ,0.0,1.0,129314.0
  2$,0.0,2.0,129313.0
  20,1.0,1.0,129314.0
  3$,0.0,1.0,129314.0
  32,0.0,1.0,129314.0
  3r,0.0,1.0,129314.0
  5t,0.0,1.0,129314.0
  7 ,0.0,1.0,129314.0
  a ,0.0,2.0,129313.0
  ac,1.0,36.0,129279.0
  ad,0.0,34.0,129281.0
  ag,0.0,2.0,129313.0
  ai,0.0,5.0,129310.0
  al,0.23,2.0,129313.0
  am,0.0,5.0,129310.0
  an,0.0,30.0,129285.0
  ap,0.0,9.0,129306.0
  ar,0.0,11.0,129304.0
  as,1.0,23.0,129292.0
  at,0.0,8.0,129307.0
  au,0.0,6.0,129309.0
  av,0.0,3.0,129312.0
  ba,1.23,10.0,129305.0
  be,1.0,26.0,129289.0
  bi,0.0,14.0,129301.0
  bl,0.0,2.0,129313.0
  bo,0.0,7.0,129308.0
  br,0.0,10.0,129305.0
  bu,0.0,25.0,129290.0
  c ,0.0,1.0,129314.0
  ca,0.75,33.0,129282.0
  ce,2.0,12.0,129303.0
  cf,0.0,7.0,129308.0
  ch,0.0,8.0,129307.0
  ci,0.0,4.0,129311.0
  cl,1.0,21.0,129294.0
  cn,0.75,4.0,129311.0
  co,2.66,134.0,129181.0
  cr,0.0,6.0,129309.0
  cs,1.0,7.0,129308.0
  cu,0.23,22.0,129293.0
  cv,0.0,1.0,129314.0
  cw,0.0,1.0,129314.0
  d ,0.0,6.0,129309.0
  d$,0.0,1.0,129314.0
  da,0.0,9.0,129306.0
  dc,0.0,1.0,129314.0
  de,1.0,49.0,129266.0
  dh,0.0,1.0,129314.0
  di,0.0,26.0,129289.0
  do,0.0,2.0,129313.0
  dr,0.75,12.0,129303.0
  du,0.0,1.0,129314.0
  dy,0.0,1.0,129314.0
  e ,0.0,2.0,129313.0
  e6,1.23,5.0,129310.0
  e7,0.0,6.0,129309.0
  ec,0.0,1.0,129314.0
  ed,1.23,10.0,129305.0
  eh,0.0,1.0,129314.0
  el,0.75,10.0,129305.0
  em,1.0,7.0,129308.0
  en,0.75,22.0,129293.0
  eq,0.0,1.0,129314.0
  er,0.0,1.0,129314.0
  es,0.0,4.0,129311.0
  ev,0.0,9.0,129306.0
  ex,2.23,15.0,129300.0
  fa,0.0,16.0,129299.0
  fb,0.0,1.0,129314.0
  fe,0.0,3.0,129312.0
  fi,0.0,33.0,129282.0
  fl,0.0,9.0,129306.0
  fo,0.0,11.0,129304.0
  fr,0.0,4.0,129311.0
  fs,0.0,2.0,129313.0
  fu,0.0,5.0,129310.0
  ga,0.0,2.0,129313.0
  ge,0.0,10.0,129305.0
  gl,1.0,5.0,129310.0
  gm,0.0,2.0,129313.0
  gr,0.0,10.0,129305.0
  gu,0.0,3.0,129312.0
  ha,0.0,4.0,129311.0
  he,0.0,9.0,129306.0
  hi,0.0,3.0,129312.0
  ho,0.0,10.0,129305.0
  hr,0.0,18.0,129297.0
  hu,0.0,9.0,129306.0
  hv,0.0,2.0,129313.0
  hw,0.0,1.0,129314.0
  i ,0.0,4.0,129311.0
  ib,0.0,1.0,129314.0
  ic,0.0,2.0,129313.0
  ii,0.0,1.0,129314.0
  il,0.0,1.0,129314.0
  im,0.0,7.0,129308.0
  in,0.75,47.0,129268.0
  ir,0.0,1.0,129314.0
  is,0.0,2.0,129313.0
  it,0.0,15.0,129300.0
  iv,0.0,1.0,129314.0
  jo,0.0,3.0,129312.0
  ju,0.0,3.0,129312.0
  ki,0.0,1.0,129314.0
  la,0.0,12.0,129303.0
  le,1.0,24.0,129291.0
  li,0.0,10.0,129305.0
  lo,0.0,23.0,129292.0
  lp,0.0,1.0,129314.0
  ls,0.0,1.0,129314.0
  lt,0.0,1.0,129314.0
  lu,1.0,2.0,129313.0
  lv,0.0,1.0,129314.0
  ma,2.75,131.0,129184.0
  mc,0.0,1.0,129314.0
  md,0.0,1.0,129314.0
  me,2.41,25.0,129290.0
  mf,0.0,1.0,129314.0
  mg,0.0,4.0,129311.0
  mi,0.75,5.0,129310.0
  mo,0.0,7.0,129308.0
  mt,0.0,1.0,129314.0
  mu,0.0,5.0,129310.0
  na,0.0,3.0,129312.0
  nd,0.0,1.0,129314.0
  ne,0.0,11.0,129304.0
  ni,0.0,2.0,129313.0
  no,0.0,4.0,129311.0
  nu,0.0,10.0,129305.0
  o ,0.0,2.0,129313.0
  o$,0.0,1.0,129314.0
  o1,0.0,1.0,129314.0
  o3,0.0,1.0,129314.0
  o4,0.0,1.0,129314.0
  oc,0.0,1.0,129314.0
  of,1.0,19.0,129296.0
  ol,0.0,1.0,129314.0
  on,0.0,1.0,129314.0
  op,1.98,49.0,129266.0
  or,0.0,4.0,129311.0
  ou,0.0,5.0,129310.0
  ow,0.0,15.0,129300.0
  p ,0.0,1.0,129314.0
  pa,1.0,46.0,129269.0
  pc,0.0,1.0,129314.0
  pe,0.0,8.0,129307.0
  ph,1.75,16.0,129299.0
  pi,1.0,6.0,129309.0
  pl,0.75,8.0,129307.0
  pm,0.0,1.0,129314.0
  po,0.0,9.0,129306.0
  pr,2.75,78.0,129237.0
  ps,0.0,2.0,129313.0
  pt,0.0,1.0,129314.0
  pu,0.0,6.0,129309.0
  qc,0.0,2.0,129313.0
  qu,1.0,12.0,129303.0
  r ,0.0,2.0,129313.0
  ra,0.0,5.0,129310.0
  re,3.0,83.0,129232.0
  ri,0.0,4.0,129311.0
  rn,0.0,5.0,129310.0
  ro,0.0,7.0,129308.0
  rr,0.0,1.0,129314.0
  rt,0.0,1.0,129314.0
  s ,0.0,1.0,129314.0
  sa,3.25,67.0,129248.0
  sb,0.0,3.0,129312.0
  sc,0.0,8.0,129307.0
  se,2.0,50.0,129265.0
  sh,0.0,8.0,129307.0
  si,1.0,1.0,129314.0
  sm,0.0,2.0,129313.0
  so,0.0,11.0,129304.0
  sp,0.0,14.0,129301.0
  sq,0.0,1.0,129314.0
  sr,1.5,7.0,129308.0
  ss,0.0,3.0,129312.0
  st,0.0,19.0,129296.0
  su,0.0,32.0,129283.0
  sv,0.0,2.0,129313.0
  sw,1.0,1.0,129314.0
  sy,1.0,9.0,129306.0
  t ,0.0,2.0,129313.0
  t$,0.0,1.0,129314.0
  ta,0.0,7.0,129308.0
  te,1.75,54.0,129261.0
  th,1.0,3.0,129312.0
  ti,0.0,3.0,129312.0
  to,0.0,5.0,129310.0
  tp,0.0,1.0,129314.0
  tr,1.0,26.0,129289.0
  tu,0.0,1.0,129314.0
  tv,0.0,1.0,129314.0
  ug,0.0,1.0,129314.0
  um,0.0,1.0,129314.0
  un,0.0,5.0,129310.0
  us,0.0,3.0,129312.0
  ut,0.0,2.0,129313.0
  va,0.0,1.0,129314.0
  vi,0.0,3.0,129312.0
  vo,0.0,4.0,129311.0
  vp,0.0,2.0,129313.0
  vu,0.0,1.0,129314.0
  w2,0.0,1.0,129314.0
  wa,0.0,10.0,129305.0
  we,0.0,15.0,129300.0
  wh,0.0,1.0,129314.0
  wi,0.0,1.0,129314.0
  wo,0.0,3.0,129312.0
  xr,0.0,1.0,129314.0
  ya,0.0,2.0,129313.0
 07$,0.0,1.0,129314.0
 0pe,0.0,1.0,129314.0
 1  ,0.0,2.0,129313.0
 1 d,0.0,1.0,129314.0
 1 l,0.0,1.0,129314.0
 1 n,0.0,1.0,129314.0
 1 p,0.0,1.0,129314.0
 1 s,0.0,1.0,129314.0
 1 t,0.0,4.0,129311.0
 1 u,0.0,1.0,129314.0
 10 ,0.0,2.0,129313.0
 101,0.0,1.0,129314.0
 102,0.0,1.0,129314.0
 10m,0.0,1.0,129314.0
 11 ,0.75,2.0,129313.0
 11$,0.0,7.0,129308.0
 111,0.0,6.0,129309.0
 11b,0.0,1.0,129314.0
 11t,0.0,1.0,129314.0
 12 ,0.0,2.0,129313.0
 125,0.0,1.0,129314.0
 13 ,0.0,1.0,129314.0
 14 ,0.0,1.0,129314.0
 14$,0.0,2.0,129313.0
 144,0.0,1.0,129314.0
 146,0.0,1.0,129314.0
 15 ,0.0,2.0,129313.0
 15$,0.0,2.0,129313.0
 17$,0.0,1.0,129314.0
 171,0.0,1.0,129314.0
 181,0.0,1.0,129314.0
 194,0.0,1.0,129314.0
 1c$,0.0,1.0,129314.0
 1lt,0.0,1.0,129314.0
 1st,0.0,6.0,129309.0
 1yr,0.0,1.0,129314.0
 2  ,0.0,3.0,129312.0
 2 c,0.0,2.0,129313.0
 2 d,0.0,1.0,129314.0
 2 f,0.0,2.0,129313.0
 2 i,0.0,1.0,129314.0
 2 m,0.0,3.0,129312.0
 2 n,0.0,1.0,129314.0
 2 o,0.0,2.0,129313.0
 2 p,0.0,1.0,129314.0
 2 t,0.0,5.0,129310.0
 2 w,1.0,1.0,129314.0
 2 x,0.0,1.0,129314.0
 201,1.0,3.0,129312.0
 21d,0.0,1.0,129314.0
 21s,1.0,1.0,129314.0
 22$,0.0,1.0,129314.0
 24 ,0.0,1.0,129314.0
 27d,0.0,1.0,129314.0
 2co,0.0,1.0,129314.0
 2nd,0.0,6.0,129309.0
 3 1,0.0,1.0,129314.0
 3 a,0.0,2.0,129313.0
 3 d,0.0,2.0,129313.0
 3 g,0.0,1.0,129314.0
 3 l,0.0,1.0,129314.0
 3 m,0.0,1.0,129314.0
 3 o,0.0,1.0,129314.0
 3 r,0.0,1.0,129314.0
 300,0.0,1.0,129314.0
 308,0.0,1.0,129314.0
 32 ,0.0,2.0,129313.0
 3b$,0.0,1.0,129314.0
 3d ,0.0,3.0,129312.0
 3ns,0.0,1.0,129314.0
 3rd,0.0,2.0,129313.0
 4  ,0.0,2.0,129313.0
 4 a,0.0,1.0,129314.0
 4 i,0.0,1.0,129314.0
 4 l,0.58,2.0,129313.0
 4 o,1.0,1.0,129314.0
 4 s,0.0,2.0,129313.0
 4 t,0.0,2.0,129313.0
 401,0.0,1.0,129314.0
 478,0.0,1.0,129314.0
 4a$,0.0,1.0,129314.0
 5 c,0.0,1.0,129314.0
 5 e,0.0,1.0,129314.0
 5 p,0.0,1.0,129314.0
 5 s,0.0,1.0,129314.0
 504,0.0,1.0,129314.0
 51$,0.0,1.0,129314.0
 512,0.0,1.0,129314.0
 536,0.0,1.0,129314.0
 545,0.75,1.0,129314.0
 597,0.0,1.0,129314.0
 5a$,0.0,1.0,129314.0
 5ax,1.0,1.0,129314.0
 5th,0.0,1.0,129314.0
 6  ,0.0,1.0,129314.0
 6 c,0.0,1.0,129314.0
 6 s,0.0,1.0,129314.0
 60 ,0.0,1.0,129314.0
 630,0.0,1.0,129314.0
 66$,0.0,1.0,129314.0
 6th,0.0,1.0,129314.0
 7 a,0.0,1.0,129314.0
 7 m,0.75,1.0,129314.0
 7 y,0.0,1.0,129314.0
 73a,0.0,1.0,129314.0
 767,0.23,2.0,129313.0
 77t,0.0,1.0,129314.0
 8 c,0.0,1.0,129314.0
 8 m,0.0,1.0,129314.0
 8 s,0.0,1.0,129314.0
 82n,0.0,1.0,129314.0
 900,0.0,1.0,129314.0
 911,0.0,3.0,129312.0
 a  ,0.0,1.0,129314.0
 a $,0.0,1.0,129314.0
 a 2,0.0,1.0,129314.0
 a a,0.0,1.0,129314.0
 a b,0.0,1.0,129314.0
 a c,0.0,8.0,129307.0
 a d,0.0,6.0,129309.0
 a i,0.0,2.0,129313.0
 a l,0.0,1.0,129314.0
 a m,0.75,2.0,129313.0
 a n,0.0,1.0,129314.0
 a o,0.0,1.0,129314.0
 a r,0.0,4.0,129311.0
 a s,0.0,2.0,129313.0
 a t,0.0,3.0,129312.0
 a v,0.0,1.0,129314.0
 a w,0.0,1.0,129314.0
 a1 ,0.0,1.0,129314.0
 a18,0.0,1.0,129314.0
 aa ,0.0,1.0,129314.0
 aa$,0.0,2.0,129313.0
 aad,0.0,2.0,129313.0
 aba,0.0,1.0,129314.0
 abc,0.0,1.0,129314.0
 abi,0.0,1.0,129314.0
 abo,0.0,1.0,129314.0
 abr,0.0,3.0,129312.0
 abs,0.75,8.0,129307.0
 abu,0.0,7.0,129308.0
 aca,0.98,32.0,129283.0
 acc,41.85999999999999,1283.0,128032.0
 acd,0.0,1.0,129314.0
 ace,0.0,1.0,129314.0
 aci,0.0,1.0,129314.0
 aco,0.0,6.0,129309.0
 acq,0.98,25.0,129290.0
 act,0.0,24.0,129291.0
 acu,0.0,1.0,129314.0
 ad ,0.75,3.0,129312.0
 ad$,0.0,2.0,129313.0
 ada,0.0,1.0,129314.0
 add,0.0,1.0,129314.0
 adi,0.0,1.0,129314.0
 adj,2.98,147.0,129168.0
 adm,45.25999999999998,1694.0,127621.0
 adn,1.0,2.0,129313.0
 ado,0.0,1.0,129314.0
 ads,0.0,1.0,129314.0
 adu,0.0,4.0,129311.0
 adv,22.94,598.0,128717.0
 ae$,0.0,2.0,129313.0
 aec,0.0,1.0,129314.0
 aer,0.0,3.0,129312.0
 aes,0.0,1.0,129314.0
 af ,0.0,1.0,129314.0
 aff,4.0,67.0,129248.0
 afr,0.0,2.0,129313.0
 afs,0.0,1.0,129314.0
 aft,0.0,5.0,129310.0
 ag ,0.0,4.0,129311.0
 aga,0.0,1.0,129314.0
 age,30.120000000000005,645.0,128670.0
 agg,0.0,1.0,129314.0
 agi,0.0,1.0,129314.0
 agp,0.0,1.0,129314.0
 agr,0.0,4.0,129311.0
 ai$,0.0,1.0,129314.0
 aic,0.0,1.0,129314.0
 aid,18.91,269.0,129046.0
 aie,0.0,1.0,129314.0
 air,0.0,41.0,129274.0
 ait,0.0,1.0,129314.0
 ala,0.23,13.0,129302.0
 alb,0.0,1.0,129314.0
 alc,0.0,1.0,129314.0
 ale,0.0,1.0,129314.0
 ali,0.0,3.0,129312.0
 all,1.0,13.0,129302.0
 alp,0.0,1.0,129314.0
 als,0.0,2.0,129313.0
 alt,0.0,5.0,129310.0
 alu,0.0,6.0,129309.0
 am ,0.0,1.0,129314.0
 amb,0.75,13.0,129302.0
 ame,2.0,33.0,129282.0
 amg,0.0,2.0,129313.0
 aml,0.0,5.0,129310.0
 amn,0.0,1.0,129314.0
 ams,0.0,1.0,129314.0
 amt,0.0,2.0,129313.0
 an ,0.0,2.0,129313.0
 an$,0.0,3.0,129312.0
 ana,101.64999999999998,3388.0,125927.0
 anc,0.0,7.0,129308.0
 and,31.64,960.0,128355.0
 ane,0.0,31.0,129284.0
 ang,0.0,5.0,129310.0
 ani,0.0,8.0,129307.0
 anl,0.0,3.0,129312.0
 ann,0.75,9.0,129306.0
 ans,0.0,1.0,129314.0
 ant,0.0,2.0,129313.0
 any,0.0,7.0,129308.0
 ap ,1.0,5.0,129310.0
 ap$,0.0,1.0,129314.0
 apa,0.0,3.0,129312.0
 ape,0.0,1.0,129314.0
 apl,0.0,1.0,129314.0
 apm,0.0,1.0,129314.0
 app,6.25,278.0,129037.0
 apr,0.0,1.0,129314.0
 apt,0.0,1.0,129314.0
 aqu,0.0,4.0,129311.0
 ar ,1.0,6.0,129309.0
 ar$,0.0,1.0,129314.0
 arb,0.0,3.0,129312.0
 arc,3.5,293.0,129022.0
 ard,0.0,1.0,129314.0
 are,0.0,35.0,129280.0
 ari,0.0,3.0,129312.0
 ark,1.0,3.0,129312.0
 arm,0.0,17.0,129298.0
 arn,0.0,2.0,129313.0
 aro,0.0,2.0,129313.0
 arr,1.0,1.0,129314.0
 art,3.0,80.0,129235.0
 as ,0.0,1.0,129314.0
 asc,0.0,1.0,129314.0
 ase,0.0,3.0,129312.0
 asi,0.75,13.0,129302.0
 asl,0.0,1.0,129314.0
 asm,0.0,1.0,129314.0
 aso,0.0,1.0,129314.0
 asp,0.0,1.0,129314.0
 asr,0.0,1.0,129314.0
 ass,204.02999999999997,4871.0,124444.0
 ast,0.0,4.0,129311.0
 at ,0.0,24.0,129291.0
 ate,0.0,1.0,129314.0
 ath,0.0,23.0,129292.0
 atl,0.0,2.0,129313.0
 atm,0.0,3.0,129312.0
 atp,0.0,1.0,129314.0
 ats,0.0,1.0,129314.0
 att,11.46,408.0,128907.0
 auc,0.0,1.0,129314.0
 aud,10.89,279.0,129036.0
 aug,0.0,1.0,129314.0
 aut,0.0,48.0,129267.0
 aux,0.0,2.0,129313.0
 av ,0.0,2.0,129313.0
 av$,0.0,1.0,129314.0
 ave,0.0,3.0,129312.0
 avi,0.23,5.0,129310.0
 avo,0.0,1.0,129314.0
 avp,0.0,10.0,129305.0
 awa,0.0,1.0,129314.0
 ax ,0.0,2.0,129313.0
 axl,0.0,1.0,129314.0
 b d,0.0,1.0,129314.0
 b m,0.0,1.0,129314.0
 b o,0.0,1.0,129314.0
 b t,0.75,2.0,129313.0
 b2b,0.0,2.0,129313.0
 b75,0.23,1.0,129314.0
 b76,0.0,1.0,129314.0
 ba$,0.0,1.0,129314.0
 bab,0.0,1.0,129314.0
 bac,0.0,6.0,129309.0
 bag,0.0,1.0,129314.0
 bai,0.0,2.0,129313.0
 bak,0.75,11.0,129304.0
 bal,0.0,6.0,129309.0
 ban,14.350000000000001,414.0,128901.0
 bap,0.0,1.0,129314.0
 bar,5.23,48.0,129267.0
 bas,1.75,29.0,129286.0
 bat,0.0,6.0,129309.0
 bay,0.0,3.0,129312.0
 bd ,0.0,1.0,129314.0
 bd$,0.0,2.0,129313.0
 bdc,0.0,1.0,129314.0
 bdm,0.0,1.0,129314.0
 bdr,0.0,1.0,129314.0
 be ,0.0,1.0,129314.0
 bea,0.0,11.0,129304.0
 bed,0.0,1.0,129314.0
 bee,0.0,1.0,129314.0
 beh,0.0,12.0,129303.0
 bel,0.0,7.0,129308.0
 ben,1.0,58.0,129257.0
 ber,0.0,2.0,129313.0
 bes,0.0,1.0,129314.0
 bev,2.0,50.0,129265.0
 bgc,0.0,1.0,129314.0
 bgt,0.0,1.0,129314.0
 bht,0.0,1.0,129314.0
 bi ,0.0,6.0,129309.0
 bi$,0.0,4.0,129311.0
 bib,0.0,1.0,129314.0
 bid,0.0,1.0,129314.0
 big,0.0,1.0,129314.0
 bik,0.0,1.0,129314.0
 bil,3.08,159.0,129156.0
 bim,0.0,2.0,129313.0
 bin,0.0,4.0,129311.0
 bio,1.0,23.0,129292.0
 bis,0.0,1.0,129314.0
 biz,0.0,1.0,129314.0
 bkg,0.0,1.0,129314.0
 bla,0.0,8.0,129307.0
 bld,0.0,3.0,129312.0
 ble,0.0,1.0,129314.0
 bli,1.0,2.0,129313.0
 blo,0.0,5.0,129310.0
 blu,0.0,2.0,129313.0
 bms,0.0,2.0,129313.0
 bmw,0.0,2.0,129313.0
 bna,0.0,1.0,129314.0
 boa,0.0,24.0,129291.0
 boc,0.0,1.0,129314.0
 bod,0.0,32.0,129283.0
 boe,1.0,2.0,129313.0
 boh,0.0,1.0,129314.0
 boi,0.0,4.0,129311.0
 bol,0.0,3.0,129312.0
 bon,0.0,5.0,129310.0
 boo,1.23,45.0,129270.0
 bor,0.0,18.0,129297.0
 bos,0.0,9.0,129306.0
 bot,1.0,4.0,129311.0
 bou,0.0,2.0,129313.0
 box,0.0,1.0,129314.0
 boy,0.0,1.0,129314.0
 bp$,1.0,1.0,129314.0
 br ,0.0,1.0,129314.0
 bra,5.2700000000000005,148.0,129167.0
 bre,0.0,6.0,129309.0
 bri,0.0,14.0,129301.0
 bro,3.75,77.0,129238.0
 bru,0.0,2.0,129313.0
 bsa,0.75,2.0,129313.0
 bsn,0.0,8.0,129307.0
 bud,1.0,18.0,129297.0
 buf,0.0,1.0,129314.0
 bui,7.0,62.0,129253.0
 bul,0.0,3.0,129312.0
 bur,0.0,6.0,129309.0
 bus,19.98,613.0,128702.0
 but,1.0,3.0,129312.0
 buy,2.0,94.0,129221.0
 by ,0.75,2.0,129313.0
 c  ,0.0,1.0,129314.0
 c a,0.0,1.0,129314.0
 c b,0.0,1.0,129314.0
 c c,0.0,1.0,129314.0
 c i,0.0,1.0,129314.0
 c l,0.0,2.0,129313.0
 c m,0.0,1.0,129314.0
 c o,0.0,1.0,129314.0
 c p,1.0,2.0,129313.0
 c s,0.0,3.0,129312.0
 c t,1.75,6.0,129309.0
 c4i,0.0,2.0,129313.0
 ca ,0.0,1.0,129314.0
 cab,0.0,11.0,129304.0
 cac,0.0,1.0,129314.0
 cad,0.0,15.0,129300.0
 caf,0.0,2.0,129313.0
 cag,0.0,3.0,129312.0
 cak,0.0,2.0,129313.0
 cal,0.0,17.0,129298.0
 cam,0.0,17.0,129298.0
 can,0.0,6.0,129309.0
 cap,4.75,125.0,129190.0
 car,52.289999999999985,999.0,128316.0
 cas,11.75,264.0,129051.0
 cat,0.0,33.0,129282.0
 cb$,0.0,1.0,129314.0
 cbp,1.0,3.0,129312.0
 cbr,0.0,2.0,129313.0
 cbs,0.0,1.0,129314.0
 cc$,0.0,1.0,129314.0
 cca,0.0,1.0,129314.0
 ccc,0.0,1.0,129314.0
 cco,0.0,2.0,129313.0
 cct,0.0,1.0,129314.0
 cdi,0.0,2.0,129313.0
 cdl,0.0,9.0,129306.0
 cdm,0.0,1.0,129314.0
 cel,0.0,9.0,129306.0
 cem,0.0,2.0,129313.0
 cen,10.58,250.0,129065.0
 ceo,3.0,58.0,129257.0
 cer,1.23,34.0,129281.0
 cfa,0.0,1.0,129314.0
 cfn,0.0,1.0,129314.0
 cfo,0.0,17.0,129298.0
 ch$,0.0,1.0,129314.0
 cha,8.33,213.0,129102.0
 chd,0.0,1.0,129314.0
 che,8.81,254.0,129061.0
 chh,0.0,1.0,129314.0
 chi,2.0,221.0,129094.0
 cho,0.0,1.0,129314.0
 chp,0.0,1.0,129314.0
 chr,0.0,3.0,129312.0
 chs,0.0,1.0,129314.0
 cht,0.0,1.0,129314.0
 chu,0.0,6.0,129309.0
 ci$,0.0,1.0,129314.0
 cio,0.0,7.0,129308.0
 cir,0.0,5.0,129310.0
 cis,0.0,1.0,129314.0
 cit,0.0,35.0,129280.0
 civ,0.0,28.0,129287.0
 cla,8.23,193.0,129122.0
 cle,41.37,950.0,128365.0
 cli,8.98,312.0,129003.0
 clo,2.19,48.0,129267.0
 clr,0.0,1.0,129314.0
 cls,0.0,1.0,129314.0
 clu,0.0,7.0,129308.0
 cm ,0.0,1.0,129314.0
 cme,0.0,1.0,129314.0
 cmm,0.0,1.0,129314.0
 cmo,0.0,1.0,129314.0
 cna,0.75,12.0,129303.0
 cnc,0.0,10.0,129305.0
 cnd,0.0,1.0,129314.0
 cnm,0.0,1.0,129314.0
 cnn,0.0,2.0,129313.0
 cns,0.0,1.0,129314.0
 co ,0.0,13.0,129302.0
 co$,1.0,9.0,129306.0
 coa,11.23,240.0,129075.0
 cob,0.0,1.0,129314.0
 coc,0.0,3.0,129312.0
 cod,4.58,89.0,129226.0
 coe,0.0,2.0,129313.0
 coi,0.0,2.0,129313.0
 col,14.49,134.0,129181.0
 com,17.96,541.0,128774.0
 con,74.98999999999997,2120.0,127195.0
 coo,73.81999999999996,2074.0,127241.0
 cop,0.0,6.0,129309.0
 cor,9.47,214.0,129101.0
 cos,0.0,17.0,129298.0
 cot,0.0,2.0,129313.0
 cou,10.420000000000002,536.0,128779.0
 cov,0.0,3.0,129312.0
 cow,0.0,1.0,129314.0
 cp$,0.0,1.0,129314.0
 cpa,0.0,7.0,129308.0
 cpe,0.0,1.0,129314.0
 cph,0.23,2.0,129313.0
 cpm,0.0,2.0,129313.0
 cpo,0.0,1.0,129314.0
 cpt,0.0,1.0,129314.0
 cqv,0.0,1.0,129314.0
 cr ,0.0,2.0,129313.0
 cra,0.23,19.0,129296.0
 crd,0.0,1.0,129314.0
 cre,5.710000000000001,141.0,129174.0
 cri,1.0,21.0,129294.0
 crm,1.0,4.0,129311.0
 crn,0.0,2.0,129313.0
 cro,0.75,6.0,129309.0
 crr,0.0,1.0,129314.0
 crs,0.0,1.0,129314.0
 crt,0.0,1.0,129314.0
 cru,0.0,3.0,129312.0
 cs ,0.0,2.0,129313.0
 cs$,1.0,2.0,129313.0
 csa,0.0,2.0,129313.0
 csc,0.58,1.0,129314.0
 csd,0.0,1.0,129314.0
 cse,0.0,1.0,129314.0
 csf,0.0,1.0,129314.0
 csl,0.0,2.0,129313.0
 csm,0.0,1.0,129314.0
 csp,0.0,1.0,129314.0
 csr,2.96,25.0,129290.0
 cst,0.0,1.0,129314.0
 csv,0.0,1.0,129314.0
 ct ,0.0,6.0,129309.0
 ct$,1.0,2.0,129313.0
 cte,0.0,1.0,129314.0
 cto,0.0,3.0,129312.0
 ctr,0.0,2.0,129313.0
 cts,0.0,1.0,129314.0
 cu$,0.0,1.0,129314.0
 cui,0.0,2.0,129313.0
 cul,0.0,13.0,129302.0
 cur,0.0,13.0,129302.0
 cus,14.190000000000001,268.0,129047.0
 cut,0.75,37.0,129278.0
 cv ,0.0,1.0,129314.0
 cve,0.0,1.0,129314.0
 cvm,0.0,1.0,129314.0
 cw ,0.0,1.0,129314.0
 cw5,0.0,1.0,129314.0
 cwu,0.0,1.0,129314.0
 cyb,0.0,4.0,129311.0
 cyc,0.0,13.0,129302.0
 cyt,0.0,1.0,129314.0
 d c,0.0,2.0,129313.0
 d d,0.0,2.0,129313.0
 d m,0.0,3.0,129312.0
 d t,0.0,1.0,129314.0
 d2$,0.0,1.0,129314.0
 dai,2.0,9.0,129306.0
 dal,0.0,2.0,129313.0
 dam,1.0,13.0,129302.0
 dat,4.33,152.0,129163.0
 day,0.0,5.0,129310.0
 db ,0.0,2.0,129313.0
 dba,0.23,14.0,129301.0
 dbm,0.0,1.0,129314.0
 dc$,0.0,2.0,129313.0
 dco,0.0,1.0,129314.0
 dcs,0.0,1.0,129314.0
 ddm,0.0,1.0,129314.0
 dds,0.0,2.0,129313.0
 de ,0.75,4.0,129311.0
 de$,0.0,1.0,129314.0
 dea,11.25,126.0,129189.0
 deb,0.0,3.0,129312.0
 dec,0.91,17.0,129298.0
 ded,0.0,1.0,129314.0
 dee,1.0,2.0,129313.0
 def,1.75,32.0,129283.0
 deg,0.0,1.0,129314.0
 dei,0.0,1.0,129314.0
 del,2.75,82.0,129233.0
 dem,1.0,5.0,129310.0
 den,1.5,78.0,129237.0
 dep,4.73,321.0,128994.0
 der,0.0,2.0,129313.0
 des,20.37,727.0,128588.0
 det,2.0,59.0,129256.0
 dev,44.279999999999994,1222.0,128093.0
 dhs,0.0,1.0,129314.0
 dia,0.0,20.0,129295.0
 dic,0.0,4.0,129311.0
 die,2.98,50.0,129265.0
 dif,0.0,1.0,129314.0
 dig,0.0,28.0,129287.0
 dii,0.0,1.0,129314.0
 dil,0.0,2.0,129313.0
 din,0.75,17.0,129298.0
 dir,70.93999999999997,2603.0,126712.0
 dis,9.16,235.0,129080.0
 dit,0.75,1.0,129314.0
 div,1.0,62.0,129253.0
 dj$,0.0,1.0,129314.0
 dll,0.0,1.0,129314.0
 dm$,0.0,2.0,129313.0
 do$,0.0,1.0,129314.0
 doc,0.0,67.0,129248.0
